City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Bayshore Gardens,US,82.4,scattered clouds,27.43,-82.59,Ramada by Wyndham Sarasota
172,Poso,ID,82.87,broken clouds,-1.4,120.75,Hotel 77 Poso
173,Itupiranga,BR,74.98,overcast clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
175,Hasaki,JP,70.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
177,Kutum,SD,78.21,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
185,Kampong Thum,KH,73.0,moderate rain,12.71,104.89,Sambor Village Hotel
189,Lemay,US,78.01,clear sky,38.53,-90.28,River City Casino & Hotel
190,Show Low,US,75.2,clear sky,34.25,-110.03,Hampton Inn & Suites Show Low-Pinetop
191,Inirida,CO,79.27,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
193,Jhansi,IN,74.84,scattered clouds,25.43,78.58,Hotel Yatrik
194,Grand Gaube,MU,73.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
198,Ratnagiri,IN,75.45,overcast clouds,16.98,73.3,Hotel Landmark
200,Yulara,AU,75.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
205,Katsuura,JP,71.01,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
209,Eyl,SO,78.57,few clouds,7.98,49.82,Amiin Hotel
211,Jalu,LY,70.43,overcast clouds,29.03,21.55,Jalu Hotel
213,Faanui,PF,79.09,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
214,Cap Malheureux,MU,73.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
215,Veraval,IN,80.82,overcast clouds,20.9,70.37,Lords Inn Somnath
219,Piacabucu,BR,76.71,scattered clouds,-10.41,-36.43,Piaçabuçu News
220,Zwedru,LR,71.6,overcast clouds,6.07,-8.13,Elijah Worjloh
221,Beatrice,US,84.2,clear sky,40.27,-96.75,Victorian Inn Beatrice
223,Hobyo,SO,78.44,few clouds,5.35,48.53,Osmani Hotel
225,Grand-Lahou,CI,75.94,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
232,Mayumba,GA,76.62,light rain,-3.43,10.66,LIKWALE LODGE
234,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
238,Ugoofaaru,MV,81.84,overcast clouds,5.67,73.0,Ungoofaaru Inn
240,Hambantota,LK,80.17,broken clouds,6.12,81.12,Bungalow 63
